GMH GMV X Y Z
57423 50291 0 407 0.0
58831 49971 0 444 0.0
58895 48467 37 444 0.0
58959 46835 74 444 0.0
59055 45235 111 444 0.0
59183 43603 148 444 0.0
59215 41907 185 444 0.0
59279 40211 222 444 0.0
59311 38483 259 444 0.0
59375 36755 296 444 0.0
59407 34995 333 444 0.0
59471 33235 370 444 0.0
59535 31507 407 444 0.0
59631 29715 444 444 0.0
59663 27987 481 444 0.0
59727 26259 518 444 0.0
59791 24531 555 444 0.0
59855 22867 592 444 0.0
59919 21203 629 444 0.0
59983 19571 666 444 0.0
61263 19923 666 481 0.0
61199 21491 629 481 0.0
61167 23123 592 481 0.0
61103 24755 555 481 0.0
61039 26451 518 481 0.0
61039 28115 481 481 0.0
60943 29843 444 481 0.0
60911 31539 407 481 0.0
60815 33267 370 481 0.0
60751 34963 333 481 0.0
60719 36659 296 481 0.0
60655 38387 259 481 0.0
60591 40083 222 481 0.0
60559 41747 185 481 0.0
60527 43379 148 481 0.0
60431 45011 111 481 0.0
60367 46579 74 481 0.0
60271 48147 37 481 0.0
60207 49651 0 481 0.0
